,hotel_name,hotel_url,hotel_describe,hotel_ranking,hotel_city,hotel_lat,hotel_lon
0,Le Lithana,https://www.booking.com/hotel/fr/le-lithana.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=b2754ee3b3f70158&srepoch=1641121991&from=searchresults#hotelTmpl,"Situé dans le centre-ville de Pontorson, l'hôtel Le Lithana se trouve à seulement 10 km au sud du célèbre Mont St-Michel. Il possède un restaurant avec terrasse et cour intérieure. ",7.3,Mont Saint Michel,48.55409667,-1.50062889
1,Les Chiens du Guet,https://www.booking.com/hotel/fr/les-chiens-du-guet.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000&srpvid=8d114ee488130057&srepoch=1641121994&from=searchresults#hotelTmpl,"L'établissement Les Chiens du Guet est situé au cœur de Saint-Malo, à seulement 50 mètres de la plage et à 550 mètres du port de plaisance. ",7.4,St Malo,48.647932,-2.028651
2,Chateau La Cheneviere,https://www.booking.com/hotel/fr/chateau-la-cheneviere.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=76b64ee59b04012a&srepoch=1641121996&from=searchresults#hotelTmpl,"L'établissement Chateau La Cheneviere est situé à Port-en-Bessin, entre les plages du débarquement et la ville de Bayeux, au cœur de la Normandie historique. ",8.8,Bayeux,49.33242881,-0.75565204
3,Hotel Les Arcades,https://www.booking.com/hotel/fr/des-arcades-rouen.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1462807&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000&srpvid=0dc74ee74573012c&srepoch=1641121999&from=searchresults#hotelTmpl,"L'Hôtel Les Arcades est un établissement abordable, situé au cœur du centre historique de Rouen, dans le quartier commerçant entre le Palais des Congrès et le Palais de Justice. ",6.2,Rouen,49.44178239,1.09468795
4,Hôtel Les Gens De Mer Le Havre by Popinns,https://www.booking.com/hotel/fr/les-gens-de-mer-le-havre.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1441598&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000%3Bdistance%3D3000&srpvid=05684ee612b30091&srepoch=1641121998&from=searchresults#hotelTmpl,"Les Gens de Mer est situé en plein cœur du Havre, en face du marché central couvert et à proximité du Bassin de Commerce. Une connexion Wi-Fi est disponible gratuitement dans les parties communes. ",6.5,Le Havre,49.4899183,0.10338306
5,Europe Saint Severin-Paris Notre Dame,https://www.booking.com/hotel/fr/europesaintseverin.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000&srpvid=40d04ee722490202&srepoch=1641122000&from=searchresults#hotelTmpl,"L'hôtel Europe Saint-Séverin Paris Notre-Dame vous accueille dans le centre de Paris, à seulement 350 mètres de Notre-Dame. Il propose des chambres insonorisées avec une télévision par satellite. ",8.6,Paris,48.8527014,2.34428041
6,Appart Hotels CATHEDRAL,https://www.booking.com/hotel/fr/appart-hotels-cathedral.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1407447&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000&srpvid=8a294ee7676e00dc&srepoch=1641122000&from=searchresults#hotelTmpl,Hébergement géré par un particulier,8.2,Amiens,49.894622,2.29822
7,Hotel Lille Europe,https://www.booking.com/hotel/fr/lille-europe.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1447079&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000&srpvid=3d524ee8c4c000d0&srepoch=1641122001&from=searchresults#hotelTmpl,"L'Hotel Lille Europe est un établissement 3 étoiles situé au cœur du quartier des affaires international, à seulement 250 mètres de la gare de Lille-Flandres et à 17 minutes de route du stade...",8.1,Lille,50.63788756,3.072685
8,"voco Strasbourg Centre - The Garden, an IHG Hotel",https://www.booking.com/hotel/fr/golden-tulip-strasbourg-centre-the-garden.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1471697&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000&srpvid=fc9b4ee88b9b0119&srepoch=1641122001&from=searchresults#hotelTmpl,"Doté d'un jardin et d'un restaurant, le Voco - Strasbourg Centre - The Garden - Garden est situé à Strasbourg. Il comporte une terrasse, un salon commun et un bar. ",8.6,Strasbourg,48.589685,7.739508
9,AUBERGE FRANKENBOURG,https://www.booking.com/hotel/fr/auberge-frankenbourg.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=204055&dest_type=landmark&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=score&nflt=ht_id%3D204%3Bdistance%3D3000%3Bdistance%3D5000&srpvid=ab2c4ee8cd26019b&srepoch=1641122001&from=searchresults#hotelTmpl,"Situé à La Vancelle, l'AUBERGE FRANKENBOURG propose un bar et une terrasse. Cet hôtel 3 étoiles propose un restaurant et des chambres climatisées avec salle de bains privative. ",,Château du Haut Koenigsbourg,48.28372,7.302646
