,ID,cities,city_lat,city_lon,felt_temp_j+1,felt_temp_j+2,felt_temp_j+3,felt_temp_j+4,felt_temp_j+5,felt_temp_j+6,felt_temp_j+7,felt_temp_avg
0,1,Mont Saint Michel,48.6359541,-1.511459954959514,10.88,4.89,3.78,1.86,2.71,3.19,5.26,4.652857142857143
1,2,St Malo,48.649518,-2.0260409,10.77,5.56,3.88,2.44,3.41,3.99,5.38,5.061428571428571
2,3,Bayeux,49.2764624,-0.7024738,7.36,5.82,2.22,1.46,2.11,1.56,3.87,3.4857142857142853
3,4,Le Havre,49.4938975,0.1079732,6.79,5.5,2.4,2.29,3.1,1.46,3.56,3.585714285714286
4,5,Rouen,49.4404591,1.0939658,9.99,4.05,1.52,2.5,1.87,1.0,3.37,3.4714285714285715
5,6,Paris,48.8588897,2.3200410217200766,10.51,11.46,1.49,3.95,4.05,1.67,3.88,5.2871428571428565
6,7,Amiens,49.8941708,2.2956951,9.31,1.92,0.84,1.69,1.49,0.14,2.59,2.5685714285714285
7,8,Lille,50.6365654,3.0635282,6.41,3.19,1.53,1.53,1.37,0.13,2.5,2.3799999999999994
8,9,Strasbourg,48.584614,7.7507127,10.45,12.65,0.65,4.28,-0.3,2.0,0.08,4.258571428571428
9,10,Château du Haut Koenigsbourg,48.249489800000006,7.34429620253195,6.02,9.15,-2.84,0.7,-1.84,1.49,-2.87,1.4014285714285712
10,11,Colmar,48.111095000000006,7.363622702110888,10.68,12.57,1.38,3.62,1.75,2.86,0.24,4.728571428571429
11,12,Eguisheim,48.0377622,7.317521300603902,10.65,12.52,1.39,3.48,2.45,2.83,0.33,4.807142857142857
12,13,Besancon,47.2380222,6.0243622,10.21,11.96,-0.34,2.02,-1.23,3.24,-1.78,3.44
13,14,Dijon,47.3215806,5.0414701,10.08,10.04,-0.77,1.11,-2.17,1.44,-0.84,2.698571428571429
14,15,Annecy,45.8992348,6.1288847,9.3,11.68,2.72,-0.42,3.93,3.25,1.57,4.575714285714285
15,16,Grenoble,45.1875602,5.7357819,11.25,14.48,3.23,-0.48,5.79,2.06,4.56,5.8414285714285725
16,17,Lyon,45.7578137,4.8320114,10.23,11.81,-1.87,0.6,5.1,1.83,3.35,4.435714285714285
17,18,Gorges du Verdon,43.7496562,6.3285616,8.72,10.44,2.72,7.57,5.97,5.05,-2.55,5.417142857142857
18,19,Bormes les Mimosas,43.1506968,6.3419285,13.82,13.53,11.41,8.51,8.72,9.09,5.3,10.054285714285713
19,20,Cassis,43.2181778,5.553394005675274,12.88,14.19,10.65,7.28,6.88,7.16,4.08,9.017142857142858
20,21,Marseille,43.2961743,5.3699525,12.45,14.23,10.93,5.99,5.9,5.7,4.35,8.507142857142858
21,22,Aix en Provence,43.5298424,5.4474738,10.28,12.36,9.27,5.97,6.86,6.29,2.52,7.65
22,23,Avignon,43.9492493,4.8059012,11.57,11.64,10.1,1.11,5.05,1.56,4.83,6.551428571428572
23,24,Uzès,44.02856055,4.420493673910444,12.24,10.63,10.16,2.14,6.56,3.6,6.88,7.45857142857143
24,25,Nîmes,43.8374249,4.3600687,12.4,11.41,10.78,3.78,7.13,4.89,7.67,8.294285714285715
25,26,Aigues Mortes,43.5658225,4.1912837,12.19,12.44,10.9,5.5,6.64,6.25,9.09,9.001428571428573
26,27,Saintes Maries de la mer,43.4522771,4.4287172,12.48,13.55,10.95,3.52,5.8,4.64,8.98,8.56
27,28,Collioure,42.52505,3.0831554,15.28,12.79,9.72,3.87,8.68,4.99,10.24,9.367142857142856
28,29,Carcassonne,43.2130358,2.3491069,12.74,12.07,3.98,1.08,1.16,2.18,4.89,5.442857142857144
29,30,Ariège,42.9455368,1.4065544156065486,8.44,9.81,-5.04,-2.95,-0.38,-3.5,-3.79,0.3700000000000001
30,31,Toulouse,43.6044622,1.4442469,10.96,12.63,3.2,2.33,4.03,3.74,5.42,6.044285714285715
31,32,Montauban,44.0175835,1.3549991,10.55,13.3,2.71,2.34,3.43,3.48,6.07,5.982857142857143
32,33,Biarritz,43.4832523,-1.5592776,14.54,12.18,5.06,7.31,10.1,6.99,10.47,9.521428571428572
33,34,Bayonne,43.4933379,-1.475099,14.83,12.32,5.11,7.48,9.95,7.05,10.43,9.595714285714283
34,35,La Rochelle,46.1591126,-1.1520434,12.25,9.81,3.88,4.6,6.8,6.76,9.38,7.64
